1|多|多|tɔ55|tɔː55|do1|P617|多少，多數。|
2|拖|拖|tʰɔ55|tʰɔː55|to1|P617|拖車，拖鞋，拖拉機。|
3|他|他|tʰa55|tʰaː55|taa1|P617|其他。|
4|駝|驼|tʰɔ21|tʰɔː21|to4|P617|駝背，駱駝。|
5|馱|驮|tʰɔ21|tʰɔː21|to4|P617|馱東西（揹負或扛在肩上），拿在手裏。|
6|馱|驮|tɔ22|tɔː22|do6|P617|馱子。|
7|舵|舵|tɔ22|tɔː22|do6|P617|船舵，舵手。|
8|大|大|tai22|taːi22|daai6|P617，650|大小，大學；大夫，大黃，大蒜。|
9|挪|挪|nɔ21|nɔː21|no4|P617|挪用公款，挪地方。|
10|哪|哪|na24|naː24|naa5|P617|哪個。|
11|那|那|na24|naː24|naa5|P617|那裏。|
12|羅|罗|lɔ21|lɔː21|lo4|P617|姓。|
13|鑼|锣|lɔ21|lɔː21|lo4|P617|鑼鼓。|
14|籮|箩|lɔ21|lɔː21|lo4|P617|籮筐，裝稻穀用。|
15|左|左|ʦɔ35|t͡ʃɔː35|zo2|P617|左手，左右。|
16|佐|佐|ʦɔ35|t͡ʃɔː35|zo2|P617|輔佐，佐料。|
17|搓|搓|ʦʰɔ55|t͡ʃʰɔː55|co1|P617|搓手，搓繩子，搓衣服，搓麻將。|
18|搓|搓|nɔ55|nɔː55|no1|P617||應作「捼/挼」字。
19|捼|捼|nɔ55|nɔː55|no1|P617||原文作「搓」字。
20|挼|挼|nɔ55|nɔː55|no1|P617||原文作「搓」字。
21|歌|歌|kɔ55|kɔː55|go1|P617|唱歌，歌曲。|
22|哥|哥|kɔ55|kɔː55|go1|P618|哥哥，老哥，哥們兒。|
23|個|个|kɔ33|kɔː33|go3|P618|一個，這個，個人，個體戶。|
24|可|可|hɔ35|hɔː35|ho2|P618|可以，許可證。|
25|蛾|蛾|ŋɔ21|ŋɔː21|ngo4|P618|飛蛾，夏天晚上集中到亮處的動物，似蝴蝶。|
26|鵝|鹅|ŋɔ21|ŋɔː21|ngo4|P618|一種家禽。|
27|俄|俄|ŋɔ21|ŋɔː21|ngo4|P618|俄國，蘇俄。|
28|我|我|ŋɔ24|ŋɔː24|ngo5|P618|我們。|
29|餓|饿|ŋɔ22|ŋɔː22|ngo6|P618|肚子餓，餓他一頓，餓肚子。|
30|荷|荷|hɔ21|hɔː21|ho4|P618|薄荷（有兩種，做菜用，藥用）；荷花。|
31|何|何|hɔ21|hɔː21|ho4|P618|姓，哪裏。|
32|河|河|hɔ21|hɔː21|ho4|P618|一條河，黃河。|
33|賀|贺|hɔ22|hɔː22|ho6|P618|姓，祝賀。|
34|阿|阿|ɔ55|Øɔː55|o1|P618|阿膠，阿彌陀佛。|
35|阿|阿|a33|Øaː33|aa3|P618|阿哥。|
36|茄|茄|kʰɛ21|kʰɛː21|ke4|P618|茄子。|
37|波|波|pɔ55|pɔː55|bo1|P618|波浪，風波。|
38|菠|菠|pɔ55|pɔː55|bo1|P618|菠菜。|
39|跛|跛|pɐi55|pɐi55|bai1|P618|跛足。|
40|簸|簸|pɔ33|pɔː33|bo3|P619|簸箕，簸谷。|
41|頗|颇|pʰɔ35|pʰɔː35|po2|P619|頗有心得。|
42|坡|坡|pʰɔ55|pʰɔː55|po1|P619|山坡，山體滑坡。|
43|玻|玻|pɔ55|pɔː55|bo1|P619|玻璃。|
44|破|破|pʰɔ33|pʰɔː33|po3|P619|東西破了，破魚肚，破壞。|
45|婆|婆|pʰɔ21|pʰɔː21|po4|P619|外婆，老太婆。|
46|薄|薄|pɔ22|pɔː22|bo6|P619|薄菏（有兩種，做菜用，藥用）。|
47|魔|魔|mɔ55|mɔː55|mo1|P619|魔鬼，魔術。|
48|磨|磨|mɔ21|mɔː21|mo4|P619|磨刀，磨墨。|
49|摩|摩|mɔ55|mɔː55|mo1|P619|摩擦，按摩。|
50|饃|馍|mɔ21|mɔː21|mo4|P619||
51|磨|磨|mɔ22|mɔː22|mo6|P619|石磨。|
52|朵|朵|tɔ35|tɔː35|do2|P619|一朵花。|
53|躲|躲|tɔ35|tɔː35|do2|P619|躲起來，躲避。|
54|剁|剁|tœk3|tœːk̚3|doek3|P619|用刀向下砍。|
55|妥|妥|tʰɔ35|tʰɔː35|to2|P619|妥當，妥協。|
56|橢|椭|tʰɔ35|tʰɔː35|to2|P619|橢圓。|
57|唾|唾|tʰɔ33|tʰɔː33|to3|P620|唾液，唾沫。|原文誤作[tʰɔ22]。
58|惰|惰|tɔ22|tɔː22|do6|P620|懶惰，惰性。|
59|垛|垛|tɔ33|tɔː33|do3|P620|柴垛。|
60|糯|糯|nɔ22|nɔː22|no6|P620|糯米。|
61|騾|骡|lɔ21|lɔː21|lo4|P620|馬與驢雜交的一種動物。|
62|螺|螺|lɔ21|lɔː21|lo4|P620|螺螄。|
63|腡|脶|lɔ21|lɔː21|lo4|P620|手指紋，圓的。|
64|囉|啰|lɔ55|lɔː55|lo1|P620|囉唆。|
65|裸|裸|lɔ35|lɔː35|lo2|P620|裸體。|
66|瘰|瘰|lɔ35|lɔː35|lo2|P620|生瘰（瘡癤），多生在脖子上。|
67|摞|摞|lɔ33|lɔː33|lo3|P620|摞起來，把東西整齊地重疊往上放。|
68|銼|锉|ʦʰɔ33|t͡ʃʰɔː33|co3|P620|銼刀，木銼。|
69|莝|莝|ʦʰɔ33|t͡ʃʰɔː33|co3|P620|莝草。|
70|矬|矬|ʦʰɔ21|t͡ʃʰɔː21|co4|P620|矮，矮矬矬。|
71|坐|坐|ʦʰɔ24|t͡ʃʰɔː24|co5|P620|坐下來，請坐。|
72|座|座|ʦɔ22|t͡ʃɔː22|zo6|P620|座位，上座。|
73|蓑|蓑|ɬɔ55|ɬɔː55|slo1|P620|蓑衣。|
74|梭|梭|ɬɔ55|ɬɔː55|slo1|P620|織布梭。|
75|梭|梭|sɔ55|ʃɔː55|so1|P620|織布梭。|
76|唆|唆|ɬɔ55|ɬɔː55|slo1|P621|囉唆，唆使。|
77|莎|莎|ɬɔ55|ɬɔː55|slo1|P621|莎草。|
78|鎖|锁|ɬɔ35|ɬɔː35|slo2|P621|一把鎖，鎖匙。|
79|瑣|琐|ɬɔ35|ɬɔː35|slo2|P621|瑣碎，煩瑣。|
80|鍋|锅|kɔ55|kɔː55|go1|P621|砂鍋，鍋鏟。|
81|戈|戈|kɔ55|kɔː55|go1|P621|大動干戈。|
82|果|果|kɔ35|kɔː35|go2|P621|水果，果凍。|
83|裹|裹|kɔ35|kɔː35|go2|P621|包裹，裹東西（如棕子）。|
84|餜|馃|kɔ35|kɔː35|go2|P621|清明餜，米餜，巧果。|
85|過|过|kɔ33|kɔː33|go3|P621|過去（走過去，從前）。|
86|科|科|fɔ55|fɔː55|fo1|P621|文科，科學。|
87|窠|窠|fɔ55|fɔː55|fo1|P621|鳥巢，雞窩。|
88|棵|棵|pʰɔ55|pʰɔː55|po1|P621|一棵。|
89|顆|颗|kʰɔ35|kʰɔː35|ko2|P621|一顆珍珠，顆粒。|
90|課|课|kʰɔ33|kʰɔː33|ko3|P621|上課，課文。|
91|訛|讹|ŋɔ21|ŋɔː21|ngo4|P621|訛詐，訛傳，以訛傳訛。|
92|臥|卧|ŋɔ22|ŋɔː22|ngo6|P621|臥倒，臥鋪，臥薪嚐膽。|
93|火|火|fɔ35|fɔː35|fo2|P622|着火，火車，火神廟。|
94|夥|伙|fɔ35|fɔː35|fo2|P622|夥計（店裏打雜工的），合夥。|
95|伙|伙|fɔ35|fɔː35|fo2|P622|伙食。|
96|貨|货|fɔ33|fɔː33|fo3|P622|到貨，貨車，百貨商店。|
97|禾|禾|wɔ21|wɔː21|wo4|P622|水稻。|
98|禍|祸|wɔ22|wɔː22|wo6|P622|闖禍，禍害。|
99|和|和|wɔ21|wɔː21|wo4|P622|和氣；和麪。|
100|倭|倭|wɔ55|wɔː55|wo1|P622|倭寇。|
101|踒|踒|wɔ55|wɔː55|wo1|P622|踒腳。|
102|窩|窝|wɔ55|wɔː55|wo1|P622|窩藏，窩囊，窩火。|
103|涴|涴|wɔ33|wɔː33|wo3|P622|弄髒，腳陷入泥裏。|
104|瘸|瘸|kʰʷɛ21|kʷʰɛː21|kwe4|P622|瘸手，瘸腿。|
105|靴|靴|hœ55|hœ55|hoe1|P622|靴子，皮靴。|
106|巴|巴|pa55|paː55|baa1|P622|巴掌，巴結，巴黎。|
107|芭|芭|pa55|paː55|baa1|P622|芭蕉，芭蕾。|
108|疤|疤|pa55|paː55|baa1|P622|結疤，傷疤。|
109|把|把|pa35|paː35|baa2|P622|把握，一把刀，把脈，抓一把。|
