1|多|多|tɔ55|tɔː55|do1|||
2|拖|拖|tʰɔ55|tʰɔː55|to1|||原網作「拕」字。
3|他|他|tʰa55|tʰaː55|taa1|||
4|駝|驼|tʰɔ21|tʰɔː21|to4||馱起來。|
5|馱|驮|tʰɔ21|tʰɔː21|to4||馱子。|
6|舵|舵|tʰai23|tʰaːi24|taai5|||
7|大|大|tai22|taːi22|daai6||大夫、大黃讀音亦同。|
8|挪|挪|nɔ21|nɔː21|no4|||
9|那|那|na23|naː24|naa5|||
10|羅|罗|lɔ21|lɔː21|lo4|||
11|鑼|锣|lɔ21|lɔː21|lo4|||
12|籮|箩|lɔ21|lɔː21|lo4|||
13|左|左|tʃɔ35|t͡ʃɔː35|zo2|||
14|佐|佐|tʃɔ35|t͡ʃɔː35|zo2|||
15|搓|搓|tʃʰɔ55|t͡ʃʰɔː55|co1|||
16|歌|歌|kɔ55|kɔː55|go1|||
17|哥|哥|kɔ55|kɔː55|go1|||
18|個|个|kɔ33|kɔː33|go3||個人。|
19|可|可|hɔ35|hɔː35|ho2|||
20|蛾|蛾|ŋɔ21|ŋɔː21|ngo4|||
21|蛾|蛾|ŋɐi23|ŋɐi24|ngai5|||
22|鵝|鹅|ŋɔ21|ŋɔː21|ngo4|||
23|俄|俄|ŋɔ21|ŋɔː21|ngo4|||
24|我|我|ŋɔ23|ŋɔː24|ngo5|||
25|餓|饿|ŋɔ22|ŋɔː22|ngo6|||
26|荷|荷|hɔ21|hɔː21|ho4||薄荷、荷花讀音亦同。|
27|何|何|hɔ21|hɔː21|ho4|||
28|河|河|hɔ21|hɔː21|ho4|||
29|賀|贺|hɔ22|hɔː22|ho6|||
30|阿|阿|0ɔ55|Øɔː55|o1||阿膠、阿哥讀音亦同。|
31|茄|茄|kʰɛ21|kʰɛː21|ke4||茄子。|
32|波|波|pɔ55|pɔː55|bo1|||
33|跛|跛|pɔ35|pɔː35|bo2||跛足。|
34|簸|簸|pɔ33|pɔː33|bo3||簸箕。|
35|頗|颇|pʰɔ55|pʰɔː55|po1|||
36|坡|坡|pʰɔ55|pʰɔː55|po1|||
37|玻|玻|pɔ55|pɔː55|bo1||玻璃。|
38|破|破|pʰɔ33|pʰɔː33|po3|||
39|婆|婆|pʰɔ21|pʰɔː21|po4|||
40|薄|薄|pɔk2|pɔːk̚2|bok6||單字讀。|
41|薄|薄|pɔ21|pɔː21|bo4||薄荷。|
42|魔|魔|mɔ55|mɔː55|mo1|||
43|磨|磨|mɔ22|mɔː22|mo6||石磨。|
44|磨|磨|mɔ21|mɔː21|mo4||磨刀。|
45|摩|摩|mɔ55|mɔː55|mo1|||
46|朵|朵|tɔ35|tɔː35|do2|||
47|剁|剁|tɔ33|tɔː33|do3|||原網作「刴」字。
48|妥|妥|tʰɔ35|tʰɔː35|to2|||
49|橢|椭|tʰɔ35|tʰɔː35|to2||橢圓。|
50|唾|唾|tʰɔ33|tʰɔː33|to3||唾液。|
51|惰|惰|tɔ22|tɔː22|do6|||
52|糯|糯|nɔ22|nɔː22|no6||糯米。|原網作「稬」字。
53|騾|骡|lɔ21|lɔː21|lo4|||
54|螺|螺|lɔ21|lɔː21|lo4||螺螄。|
55|腡|脶|lɔ21|lɔː21|lo4||手指紋。|
56|裸|裸|lɔ35|lɔː35|lo2||裸體。|
57|銼|锉|tʃʰɔ33|t͡ʃʰɔː33|co3|||
58|坐|坐|tʃʰɔ23|t͡ʃʰɔː24|co5|||
59|座|座|tʃɔ22|t͡ʃɔː22|zo6|||
60|蓑|蓑|ɬɔi55|ɬɔːi55|sloi1|||
61|梭|梭|ʃɔ55|ʃɔː55|so1||織布梭。|
62|唆|唆|ʃɔ55|ʃɔː55|so1||囉唆。|
63|莎|莎|ʃɔ55|ʃɔː55|so1||莎草。|
64|鎖|锁|ɬɔ35|ɬɔː35|slo2|||
65|瑣|琐|ɬɔ35|ɬɔː35|slo2||瑣碎。|
66|鍋|锅|kɔ55|kɔː55|go1|||
67|戈|戈|kɔ55|kɔː55|go1|||
68|果|果|kɔ35|kɔː35|go2|||
69|裹|裹|kɔ35|kɔː35|go2|||
70|過|过|kɔ33|kɔː33|go3|||
71|科|科|fɔ55|fɔː55|fo1|||
72|窠|窠|pʰɔ55|pʰɔː55|po1|||
73|棵|棵|pʰɔ55|pʰɔː55|po1|||
74|顆|颗|kʰɔ35|kʰɔː35|ko2||一顆珠。|
75|課|课|kʰɔ33|kʰɔː33|ko3|||
76|訛|讹|ŋɔ21|ŋɔː21|ngo4|||
77|臥|卧|ŋɔ22|ŋɔː22|ngo6|||
78|火|火|fɔ35|fɔː35|fo2|||
79|夥|伙|fɔ35|fɔː35|fo2|||
80|伙|伙|fɔ35|fɔː35|fo2|||原網作「夥」字。
81|貨|货|fɔ33|fɔː33|fo3|||
82|禾|禾|0uɔ21|wɔː21|wo4|||
83|禍|祸|0uɔ22|wɔː22|wo6|||
84|和|和|0uɔ21|wɔː21|wo4||和氣。|
85|倭|倭|0uɔ35|wɔː35|wo2|||
86|瘸|瘸|kʰuɛ21|kʷʰɛː21|kwe4||瘸腿。|
87|靴|靴|hœ55|hœ55|hoe1|||
88|巴|巴|pa55|paː55|baa1|||
89|芭|芭|pa55|paː55|baa1|||
90|把|把|pa35|paː35|baa2||把守。|
91|霸|霸|pa33|paː33|baa3|||
92|欛|把|pa33|paː33|baa3||柄。|
93|垻|坝|pa33|paː33|baa3||平川。|
94|壩|坝|pa33|paː33|baa3|||原網作「垻」字。
95|怕|怕|pʰa33|pʰaː33|paa3|||
96|爬|爬|pʰa21|pʰaː21|paa4|||
